Judge,Office,Total Dispositions,Tot,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"Bruning, Janice M",OAK BROOK,410,410,342,189,153,169,20
"Cromer, Kimberly S",OAK BROOK,392,392,344,235,109,200,35
"Fina, Joel G",OAK BROOK,358,358,300,188,112,157,31
"Horn, James A",OAK BROOK,73,73,66,42,24,40,2
"Kelsey, Roxanne J",OAK BROOK,256,256,208,120,88,108,12
"Kraybill, John K",OAK BROOK,319,319,256,151,105,134,17
"Level, Lorenzo",OAK BROOK,46,46,38,26,12,21,5
"Mackowiak, William J",OAK BROOK,104,534,85,73,12,70,3
"Senander, Robert M",OAK BROOK,430,430,370,234,136,188,46
"Studzinski, Edward P",OAK BROOK,391,391,310,135,175,100,35
"Templin, Steven H",OAK BROOK,255,255,210,161,49,152,9
"Alaga-Gadigian, Janet L",OAK PARK,338,338,288,191,97,170,21
"Blum, Jerome B",OAK PARK,207,207,172,100,72,93,7
"Callahan, J. William",OAK PARK,271,271,221,135,86,124,11
"Christensen, Timothy J",OAK PARK,387,387,328,231,97,224,7
"Contorer, Beth J",OAK PARK,278,278,214,160,54,144,16
"Deming, Kari",OAK PARK,285,285,248,139,109,117,22
"Gruenburg, Dawn M",OAK PARK,58,379,51,35,16,28,7
"Hall-Keith, Jacqueline Y",OAK PARK,269,269,209,161,48,155,6
"Herman, Ronald",OAK PARK,347,347,293,227,66,213,14
"Herring, Virginia",OAK PARK,181,277,156,61,95,40,21
"Holiday, Gregory",OAK PARK,321,321,275,177,98,93,84
"McKay, Patricia S",OAK PARK,244,244,203,94,109,76,18
"Paige, Melody",OAK PARK,403,403,328,247,81,195,52
"Scallen, Timothy C",OAK PARK,395,395,331,170,161,151,19
"Alis, E.",OAKLAND,191,262,158,94,64,73,21
"Blume, Michael",OAKLAND,123,123,95,69,26,61,8
"Callis, Philip E",OAKLAND,3,3,1,1,0,1,0
"Flanagan, John J",OAKLAND,316,316,246,192,54,168,24
"Gill, Kevin",OAKLAND,45,112,39,25,14,18,7
"Hernandez, Evangelina P",OAKLAND,133,335,96,61,35,53,8
"Hill-Maxion, Sanya",OAKLAND,167,245,144,131,13,128,3
"Laverdure, Richard P",OAKLAND,279,279,220,116,104,103,13
"Loo, Katherine",OAKLAND,2,294,0,0,0,0,0
"Mazzi, David R",OAKLAND,101,343,77,62,15,58,4
"Parnow, Mary P",OAKLAND,110,280,85,50,35,43,7
"Welton, Bradlee S",OAKLAND,190,190,150,113,37,71,42
"Williams, Jr., Major",OAKLAND,225,225,182,153,29,148,5
"Baldwin, Trace",OKLAHOMA CITY,272,272,215,185,30,176,9
"Conyers, Susan W",OKLAHOMA CITY,380,380,328,155,173,141,14
"Fulton, Kenton W",OKLAHOMA CITY,342,342,290,168,122,149,19
"Gordon, J. Dell",OKLAHOMA CITY,476,476,391,243,148,230,13
"Hamilton, Angelita",OKLAHOMA CITY,322,322,259,131,128,125,6
"Harris, Michael",OKLAHOMA CITY,336,336,283,209,74,195,14
"LaRoche Jr., Roy E",OKLAHOMA CITY,74,260,65,15,50,8,7
"Levine, Jodi B.",OKLAHOMA CITY,327,327,274,180,94,162,18
"McLean, Jennie L.",OKLAHOMA CITY,234,234,165,59,106,46,13
"Merchan, Sylke",OKLAHOMA CITY,299,299,228,139,89,127,12
"Parrish, Kim D.",OKLAHOMA CITY,386,386,315,174,141,161,13
"Shepherd, Larry D.",OKLAHOMA CITY,372,372,282,111,171,97,14
"Stults, Douglas S.",OKLAHOMA CITY,366,366,266,146,120,130,16
"Thompson, Edward L.",OKLAHOMA CITY,416,416,312,155,157,136,19
"Anderson, G. Roderic",OMAHA,211,211,181,144,37,130,14
"Buell, David G",OMAHA,348,350,278,153,125,137,16
"Cameron Shattil, Emily",OMAHA,351,351,284,236,48,225,11
"Draper, Jo Ann L",OMAHA,1,146,0,0,0,0,0
"Dutton, Jan E",OMAHA,429,429,327,163,164,146,17
"Erickson, Diana",OMAHA,1,358,1,1,0,1,0
"Laba, Sherianne",OMAHA,3,3,3,3,0,3,0
"Lahners, Ronald D",OMAHA,310,310,235,147,88,140,7
"MacMurray, Ann F",OMAHA,28,28,26,18,8,15,3
"Souza, Raymond L",OMAHA,4,271,1,0,1,0,0
"Wolfe, J. Doug",OMAHA,1,385,1,0,1,0,0
"Andeer, Kyle E",ORANGE,88,339,70,37,33,26,11
"Hesse, Helen E",ORANGE,356,356,267,76,191,53,23
"Ho, Joan",ORANGE,424,424,328,63,265,54,9
"Hopson, Sharilyn",ORANGE,390,390,311,127,184,98,29
"Kays, John",ORANGE,364,364,289,186,103,165,21
"Lisiecki III, Joseph P",ORANGE,465,465,343,194,149,172,22
"Markiewicz, Alan J",ORANGE,337,341,273,149,124,109,40
"Wojciechowski, John W",ORANGE,382,382,282,133,149,127,6
"Bruce, David R",ORLAND PARK,348,348,287,142,145,124,18
"Ellis, Deborah E",ORLAND PARK,94,335,64,25,39,7,18
"Ferrer, Victoria A",ORLAND PARK,189,189,158,79,79,62,17
"Hellman, Michael",ORLAND PARK,271,271,212,84,128,68,16
"Johnson, Matthew",ORLAND PARK,177,195,142,85,57,66,19
"Kadlec, Kathleen",ORLAND PARK,82,82,69,39,30,21,18
"Laskaris, Bill",ORLAND PARK,46,205,43,28,15,14,14
"Mackowiak, William J",ORLAND PARK,430,534,346,291,55,284,7
"Pendola, Michael",ORLAND PARK,175,185,139,56,83,46,10
"Sayon, Karen",ORLAND PARK,309,309,251,93,158,83,10
"Smith, Gregory",ORLAND PARK,22,22,18,16,2,14,2
"Spalo, William",ORLAND PARK,365,365,310,169,141,139,30
"Supergan, Patricia W",ORLAND PARK,322,322,248,123,125,115,8
"Calabro, Michael",ORLANDO,448,448,372,220,152,188,32
"Eiler, Kathleen H",ORLANDO,186,188,146,67,79,59,8
"Fulcher, Eric S.",ORLANDO,390,400,318,152,166,123,29
"Houston, Pamela",ORLANDO,453,453,357,215,142,188,27
"LaBoda, Barry C",ORLANDO,312,312,244,218,26,199,19
"Landrum, Bruce",ORLANDO,286,286,213,109,104,95,14
"Mahon, Janet",ORLANDO,394,394,324,172,152,152,20
"Mandry, Maria T",ORLANDO,336,385,267,159,108,150,9
"Marcinkowski, Robert D",ORLANDO,233,233,196,109,87,82,27
"Rodriguez-Quilichini, E",ORLANDO,433,433,338,183,155,167,16
"Rose, Joseph A",ORLANDO,207,408,176,113,63,105,8
"Senf, Chester G",ORLANDO,380,380,303,231,72,204,27
"Statum, Emily R",ORLANDO,63,251,53,24,29,22,2
"Tejada-Rivera, Pedro",ORLANDO,383,383,322,191,131,178,13
"Walker, Douglas A",ORLANDO,523,523,426,272,154,202,70
"Downs, Amber",PADUCAH,49,284,47,16,31,11,5
"Eaton, Marci P",PADUCAH,409,409,336,213,123,205,8
"Hall, Lisa R",PADUCAH,317,325,246,131,115,113,18
"Kraft, Emilie",PADUCAH,355,392,312,164,148,137,27
"Lassy, Mary S",PADUCAH,304,304,275,174,101,165,9
"Chau, Ken H",PASADENA,289,289,249,129,120,119,10
"Cooper, Bruce T",PASADENA,171,171,130,102,28,97,5
"Goodman, James D",PASADENA,295,295,230,85,145,56,29
"Martinez, Joel B",PASADENA,136,136,111,39,72,36,3
"McKenna, Michael",PASADENA,197,197,149,78,71,68,10
"Montano, Donna M",PASADENA,269,269,196,135,61,122,13
"Moreen, John D",PASADENA,122,122,105,58,47,52,6
"Simon, Philip J",PASADENA,282,282,226,150,76,133,17
"Troope, Lesley",PASADENA,333,333,269,174,95,157,17
"Ellis, Deborah E",PEORIA,241,335,197,71,126,40,31
"Flebbe, Diane R",PEORIA,100,100,84,27,57,23,4
"Laub, Kathleen",PEORIA,107,246,83,29,54,23,6
"Mueller, Koren",PEORIA,22,202,17,6,11,5,1
"Pendola, Michael",PEORIA,10,185,4,0,4,0,0
"Rickert, Gerard J",PEORIA,218,218,174,109,65,103,6
"Schwartz, Robert H",PEORIA,349,349,312,158,154,90,68
"Thompson, David W",PEORIA,410,410,329,121,208,94,27
"Wilson, Shreese M",PEORIA,219,219,190,101,89,84,17
"Wood, John M",PEORIA,377,377,274,99,175,92,7
"Zapf, Susan F",PEORIA,380,380,315,145,170,117,28
"Fitzpatrick, John M",PHILADELPHIA,206,206,180,132,48,123,9
"Hillegas, Joseph M",PHILADELPHIA,459,459,364,243,121,197,46
"Katzman, Owen B",PHILADELPHIA,315,315,210,102,108,93,9
"Kelly, Richard A",PHILADELPHIA,323,323,226,156,70,134,22
"Lyons, Jon C",PHILADELPHIA,324,324,239,168,71,155,13
"McCafferty, Christine",PHILADELPHIA,90,243,55,22,33,21,1
"McDade, Kathleen",PHILADELPHIA,175,184,125,55,70,43,12
"Overton, Nadine",PHILADELPHIA,238,238,132,68,64,53,15
"Sacks, Alan",PHILADELPHIA,10,10,10,5,5,4,1
"Volkman, Janice C",PHILADELPHIA,253,253,188,124,64,115,9
"Warren, Regina L",PHILADELPHIA,363,363,240,127,113,83,44
"Wesner, Jonathan L",PHILADELPHIA,347,363,268,202,66,147,55
"Bosch, Stephen",PHILADELPHIA EAST,291,291,147,92,55,81,11
"Gauffreau, Stuart",PHILADELPHIA EAST,400,400,312,118,194,97,21
"Lash, Jennifer M",PHILADELPHIA EAST,203,293,167,75,92,44,31
"McCafferty, Christine",PHILADELPHIA EAST,153,243,88,36,52,33,3
"McDade, Kathleen",PHILADELPHIA EAST,9,184,6,4,2,1,3
"Merritt, Susannah",PHILADELPHIA EAST,277,277,203,79,124,63,16
"Morales-Rosa, Sandra H",PHILADELPHIA EAST,338,338,237,151,86,144,7
"Statum, Emily R",PHILADELPHIA EAST,188,251,131,60,71,55,5
"Strother, Channing",PHILADELPHIA EAST,93,105,68,39,29,36,3
"Timm, Frederick",PHILADELPHIA EAST,455,455,355,226,129,205,21
"Wishnoff, Howard",PHILADELPHIA EAST,155,179,116,60,56,54,6
"Fletcher, Guy E",PHOENIX,326,342,265,164,101,129,35
"Fow, Paula",PHOENIX,197,202,143,76,67,55,21
"Gaffney, John",PHOENIX,374,396,316,166,150,141,25
"Schum, Randolph E",PHOENIX,380,380,309,93,216,60,33
"Tucevich, Michael D",PHOENIX,229,229,185,116,69,96,20
"Waters, Carla L",PHOENIX,339,339,297,106,191,57,49
"Zamora, Christa",PHOENIX,345,345,292,136,156,101,35
"Zisook, Sheldon P",PHOENIX,366,367,310,109,201,82,27
"Armbruster, Ted W",PHOENIX NORTH,304,304,221,103,118,91,12
"Bucci, Patricia A",PHOENIX NORTH,299,299,232,85,147,44,41
"Bucci, Patricia A",PHOENIX NORTH,2,2,2,1,1,0,1
"Cates, Jr., Earl C.",PHOENIX NORTH,290,290,220,92,128,86,6
"Farmer, Lyn",PHOENIX NORTH,162,169,133,95,38,79,16
"Knight, Joan G",PHOENIX NORTH,273,273,213,88,125,78,10
"Mucerino, Kathleen",PHOENIX NORTH,394,394,333,295,38,270,25
"Rosen-Underwood, Claudi L",PHOENIX NORTH,217,217,126,77,49,65,12
"Walls, Kelly",PHOENIX NORTH,307,316,263,163,100,113,50
"Zisook, Sheldon P",PHOENIX NORTH,1,367,1,0,1,0,0
"Appetta, Natalie",PITTSBURGH,1,1,1,0,1,0,0
"Bareford, Christian",PITTSBURGH,162,162,119,67,52,54,13
"Brash, David F",PITTSBURGH,169,315,106,44,62,33,11
"Colligan, Michael F",PITTSBURGH,261,261,210,132,78,127,5
"Davis, Lamar W",PITTSBURGH,2,314,2,1,1,1,0
"de Leon, Alma S",PITTSBURGH,249,249,178,118,60,115,3
"Ehasz, Sarah",PITTSBURGH,155,155,104,58,46,45,13
"Gates, Timothy",PITTSBURGH,125,167,97,62,35,50,12
"Kaczmarek, Michael S",PITTSBURGH,254,254,191,77,114,54,23
"Kenworthy, William E",PITTSBURGH,456,456,336,173,163,147,26
"Kozma, David J",PITTSBURGH,100,100,83,57,26,54,3
"Papazekos, Joanna",PITTSBURGH,288,288,196,109,87,101,8
"Perry- Dowdell, Leslie",PITTSBURGH,312,312,212,89,123,53,36
"Porter, John J",PITTSBURGH,456,456,342,175,167,155,20
"Brennan, Luke A",PONCE,1,415,0,0,0,0,0
"Fernandez Rice, Myriam C",PONCE,2,418,0,0,0,0,0
"Glanville, Harold",PONCE,440,635,378,243,135,240,3
"Grippo, Theodore W",PONCE,43,273,39,24,15,17,7
"Haaversen, Hortensia",PONCE,56,472,47,39,8,35,4
"Nunez, Maria",PONCE,5,381,4,0,4,0,0
"Pardo, Raul C",PONCE,45,322,41,31,10,14,17
"Pico, Gerardo R",PONCE,1,238,0,0,0,0,0
"Cutter, Christine",PORTLAND ME,138,138,106,53,53,45,8
"Davis, Lamar W",PORTLAND ME,312,314,264,164,100,156,8
"Helm, Linda J",PORTLAND ME,270,270,210,126,84,114,12
"Melanson, John L",PORTLAND ME,392,392,305,180,125,169,11
"Morgan, Katherine",PORTLAND ME,256,256,218,171,47,158,13
"Sax, Carol A",PORTLAND ME,4,266,4,4,0,4,0
"Shortill, Joseph",PORTLAND ME,265,265,212,182,30,172,10
"Campbell, Robert F",PORTLAND OR,342,342,277,178,99,152,26
"Geib, Richard",PORTLAND OR,212,212,164,75,89,61,14
"Grace, S. Andrew",PORTLAND OR,363,371,302,151,151,77,74
"Hoenninger, Jo",PORTLAND OR,400,400,305,157,148,128,29
"Jones, Rebecca L",PORTLAND OR,143,143,95,30,65,25,5
"Leise, Sue",PORTLAND OR,299,299,243,121,122,95,26
"Lynch, Steve",PORTLAND OR,431,431,353,193,160,164,29
"Michaelsen, John",PORTLAND OR,31,372,23,8,15,8,0
"Mozyrsky, Vadim",PORTLAND OR,402,402,341,125,216,99,26
"Murgo, Rudolph",PORTLAND OR,443,443,350,145,205,122,23
"Pines, S.",PORTLAND OR,209,209,163,80,83,34,46
"Robeck, Paul G",PORTLAND OR,393,393,309,137,172,122,15
"Thomasson, Linda",PORTLAND OR,366,366,306,115,191,75,40
"Best, Barry H",PROVIDENCE,393,393,262,97,165,79,18
"Bower, Martha",PROVIDENCE,433,433,318,97,221,86,11
"Garrian, Tanya J",PROVIDENCE,439,439,352,225,127,205,20
"Goodale, Paul W",PROVIDENCE,216,341,168,62,106,49,13
"Mastrangelo, Jason",PROVIDENCE,432,432,331,118,213,90,28
"McGinn, V. Paul",PROVIDENCE,516,516,408,324,84,300,24
"Resnick, Gerald",PROVIDENCE,521,521,414,204,210,192,12
"Allen, Michelle I",QUEENS,148,177,118,73,45,56,17
"Cofresi, Michael D",QUEENS,93,93,66,44,22,41,3
"Cohen, Jay L",QUEENS,293,293,226,154,72,126,28
"Donaghy, Margaret A",QUEENS,233,233,186,113,73,103,10
"Haber Lamkay, Jacquelin",QUEENS,214,310,174,100,74,72,28
"Hoppenfeld, Marilyn P",QUEENS,117,117,73,54,19,39,15
"Iwuamadi, Ifeoma N",QUEENS,113,113,89,60,29,47,13
"Lahat, Gal",QUEENS,85,85,73,55,18,51,4
"Pecoraro, Margaret L",QUEENS,258,258,200,167,33,155,12
"Strauss, Hazel C",QUEENS,40,40,22,6,16,6,0
"Andersen, William",RALEIGH,375,375,298,244,54,236,8
"Brinkley, Joseph L",RALEIGH,329,360,262,113,149,106,7
"Brockington, Gary",RALEIGH,285,342,239,70,169,57,13
"Cavadi, Michelle D",RALEIGH,10,297,10,3,7,3,0
"Davis, Kelly",RALEIGH,481,481,399,291,108,274,17
"Hall, Lisa R",RALEIGH,8,325,7,1,6,1,0
"Harper, Catherine",RALEIGH,373,373,318,147,171,129,18
"Hogan, Mason",RALEIGH,389,389,310,156,154,134,22
"Miller, Larry A",RALEIGH,399,400,327,166,161,133,33
"Ofori-Acquaah, Anne-Mar A",RALEIGH,261,353,215,78,137,61,17
"Phares, Robert J",RALEIGH,447,447,373,243,130,203,40
"Rideout, Robert",RALEIGH,193,193,145,103,42,103,0
"Williams, James E",RALEIGH,351,361,306,125,181,115,10
"Wisz, Katherine D",RALEIGH,227,227,192,112,80,96,16
"Wright, Wanda L",RALEIGH,381,381,326,204,122,179,25
"Burlison, Eileen",RENO NV,95,95,77,21,56,20,1
"Denney, Craig",RENO NV,26,26,22,10,12,9,1
"Johannes, Ryan",RENO NV,422,422,353,220,133,177,43
"Shave, Janice E",RENO NV,234,239,195,106,89,92,14
"Carr, Michael",RICHMOND,47,337,37,13,24,7,6
"Foster, Nicolas R",RICHMOND,404,404,330,154,176,115,39
"Hammock, Melissa",RICHMOND,31,31,20,10,10,9,1
"Hauser, William H.",RICHMOND,414,414,336,177,159,155,22
"Hurt, Patricia E",RICHMOND,133,196,122,39,83,36,3
"Johnson, Jr., Anthony J",RICHMOND,376,376,309,166,143,129,37
"Kennedy, Theodore P",RICHMOND,397,397,325,170,155,134,36
"Nunez, Maria",RICHMOND,376,381,279,134,145,122,12
"Anderson, Monica J",RIO GRANDE VALLEY TX,4,313,3,0,3,0,0
"Erickson, Allen G",RIO GRANDE VALLEY TX,20,392,17,5,12,3,2
"Gilbert, Richard A",RIO GRANDE VALLEY TX,74,495,63,29,34,25,4
"Helget, Thomas J",RIO GRANDE VALLEY TX,2,426,0,0,0,0,0
"Lappin, Randi E",RIO GRANDE VALLEY TX,403,404,308,159,149,102,57
"Mariano-Jackson, Evange",RIO GRANDE VALLEY TX,27,283,23,16,7,11,5
"Stubblefield, Ross",RIO GRANDE VALLEY TX,33,447,26,5,21,5,0
"Suttles, Gary J",RIO GRANDE VALLEY TX,25,359,16,3,13,2,1
"Dawkins, John",ROANOKE,31,31,28,19,9,12,7
"De Monbreum, Steven A",ROANOKE,112,208,94,60,34,57,3
"Erwin, Thomas W",ROANOKE,372,372,321,182,139,157,25
"Lewandowski, David S",ROANOKE,268,268,213,110,103,98,12
"Page, Geraldine H",ROANOKE,314,314,263,116,147,79,37
"Schueler, Jeffrey J",ROANOKE,297,297,256,132,124,106,26
"Scruton, Joseph T",ROANOKE,371,371,317,179,138,155,24
"Sprague, Anne V",ROANOKE,182,361,148,73,75,58,15
"Costello, John P",ROCHESTER,308,308,259,161,98,145,16
"Devlin, Michael W",ROCHESTER,277,352,196,154,42,138,16
"Kane, Brian",ROCHESTER,402,402,335,256,79,236,20
"Morgan, Aaron M",ROCHESTER,1,4,0,0,0,0,0
"O'Brien, Connor",ROCHESTER,234,234,184,136,48,122,14
"Belli, Peter F",SACRAMENTO,154,154,111,47,64,45,2
"Blume, David M",SACRAMENTO,442,442,398,265,133,239,26
"Buck, Carol L",SACRAMENTO,296,296,227,127,100,109,18
"Buell, David G",SACRAMENTO,2,350,1,0,1,0,0
"Duran, Lawrence J",SACRAMENTO,445,445,370,254,116,235,19
"Eckersen, Carol A",SACRAMENTO,329,329,270,136,134,117,19
"Fong, L. Kalei",SACRAMENTO,253,253,201,69,132,49,20
"French, Mary M",SACRAMENTO,339,339,285,192,93,179,13
"Gillis, Sara A",SACRAMENTO,412,412,348,171,177,143,28
"Grooms, Odell",SACRAMENTO,194,241,168,111,57,79,32
"Kerins, Jean R",SACRAMENTO,101,116,83,55,28,39,16
"Knowdell, Christopher C",SACRAMENTO,289,289,251,136,115,108,28
"Myers, Daniel",SACRAMENTO,158,269,129,52,77,32,20
"Ramsey, Mark C",SACRAMENTO,345,345,275,107,168,84,23
"Renoe, Curtis",SACRAMENTO,25,25,13,7,6,6,1
"Tronvig, Jr., Robert C",SACRAMENTO,297,297,231,156,75,141,15
"Villere Jr., Plauche F",SACRAMENTO,505,505,435,316,119,287,29
"Crowell, Jason W",SALT LAKE CITY,321,321,245,117,128,97,20
"Hobbs, B.",SALT LAKE CITY,330,342,264,144,120,123,21
"Jensen, Donald R",SALT LAKE CITY,105,105,101,69,32,47,22
"Labrum, Robert J",SALT LAKE CITY,291,291,238,188,50,164,24
"Martinez, Gilbert A",SALT LAKE CITY,394,394,307,138,169,114,24
"Stroup, Marsha",SALT LAKE CITY,28,238,21,15,6,13,2
"Switzer, Kathleen H",SALT LAKE CITY,294,294,227,177,50,160,17
"Wolfe, J. Doug",SALT LAKE CITY,384,385,327,226,101,189,37
"Barnett, Ben",SAN ANTONIO,373,373,300,112,188,90,22
"Blucher, Jonathan P",SAN ANTONIO,230,230,186,30,156,22,8
"Brower, Charles L",SAN ANTONIO,366,366,280,146,134,131,15
"Brown, Katherine W",SAN ANTONIO,395,395,313,138,175,119,19
"Eason, Kimani R",SAN ANTONIO,2,217,2,1,1,1,0
"Engel, David W",SAN ANTONIO,3,532,3,2,1,1,1
"Gazda, Peter F",SAN ANTONIO,373,373,312,197,115,178,19
"Harper, Don A",SAN ANTONIO,405,405,317,160,157,149,11
"Holmes, Janice L",SAN ANTONIO,370,370,291,112,179,95,17
"Kirkpatrick, Melinda W",SAN ANTONIO,486,487,378,199,179,159,40
"Kramer, Ilene B",SAN ANTONIO,348,348,273,134,139,126,8
"Marquardt, Barbara C",SAN ANTONIO,341,341,258,86,172,73,13
"McKay, Bernard J",SAN ANTONIO,380,380,311,134,177,116,18
"McPhail, Robert M",SAN ANTONIO,190,190,144,53,91,38,15
"Momcilovic, Gordan",SAN ANTONIO,439,439,327,116,211,101,15
"Perez, Lissette C",SAN ANTONIO,209,209,162,72,90,59,13
"Powell, Barbara",SAN ANTONIO,377,377,297,70,227,57,13
"Swayze, Mark M",SAN ANTONIO,302,302,237,95,142,80,15
"Vanderhoof, Gary L",SAN ANTONIO,423,460,348,139,209,125,14
"Whittington, Susan",SAN ANTONIO,14,14,1,0,1,0,0
"Wilkov, Penny",SAN ANTONIO,15,15,7,0,7,0,0
"Wurm, David R",SAN ANTONIO,342,367,268,150,118,128,22
"Alegre, Dante M",SAN BERNARDINO,375,375,309,106,203,79,27
"Fernandez, Laura",SAN BERNARDINO,380,380,285,101,184,74,27
"Harrell, Jr., Mason D",SAN BERNARDINO,368,368,298,159,139,148,11
"Loo, Katherine",SAN BERNARDINO,139,294,100,55,45,46,9
"Pease, Jesse J",SAN BERNARDINO,322,322,261,155,106,114,41
"Radensky, Michael D",SAN BERNARDINO,9,410,0,0,0,0,0
"Silva, Troy",SAN BERNARDINO,348,348,261,146,115,130,16
"Stewart, Nancy M",SAN BERNARDINO,355,369,300,183,117,142,41
"Benham, Eric V",SAN DIEGO,253,253,216,143,73,107,36
"Carletti, James S",SAN DIEGO,205,205,161,84,77,56,28
"Cole, Donald P",SAN DIEGO,363,363,291,129,162,107,22
"Dietterle, Keith",SAN DIEGO,359,359,299,160,139,146,14
"Greenberg, Mark B",SAN DIEGO,397,397,361,228,133,204,24
"Henrie, Robin L",SAN DIEGO,285,285,240,127,113,94,33
"Iafe, Robert",SAN DIEGO,150,150,123,87,36,77,10
"Levine, Jay E",SAN DIEGO,332,332,280,133,147,89,44
"Mueller, William K",SAN DIEGO,376,376,309,165,144,136,29
"Treblin, Howard K",SAN DIEGO,358,358,302,224,78,212,12
"Valentino, Peter J",SAN DIEGO,104,104,88,48,40,39,9
"Erickson, Robert M",SAN FRANCISCO,259,259,225,147,78,132,15
"Heyer, John",SAN FRANCISCO,393,393,334,190,144,177,13
"Lee, Gary J",SAN FRANCISCO,4,328,3,2,1,2,0
"Lewald, Susanne",SAN FRANCISCO,296,349,251,156,95,117,39
"Lisewski, Nancy",SAN FRANCISCO,348,352,260,133,127,109,24
"Loo, Katherine",SAN FRANCISCO,104,294,67,43,24,36,7
"Parnow, Mary P",SAN FRANCISCO,170,280,133,77,56,67,10
"Scott, Judson",SAN FRANCISCO,120,120,109,42,67,40,2
"Andeer, Kyle E",SAN JOSE,2,339,0,0,0,0,0
"Barbeito, Betty Roberts",SAN JOSE,352,352,292,144,148,126,18
"Freedman, Robert",SAN JOSE,208,208,173,65,108,57,8
"Gaye, Thomas J",SAN JOSE,283,283,228,152,76,134,18
"Hannon, T. Patrick",SAN JOSE,293,293,228,119,109,87,32
"Hoskins Hart, Teresa L",SAN JOSE,298,298,241,112,129,78,34
"Inama, Christopher R",SAN JOSE,6,385,6,2,4,2,0
"Lyman, Phillip C",SAN JOSE,279,279,223,135,88,116,19
"Michaud, Frederick",SAN JOSE,144,144,129,90,39,72,18
"Rogozen, Brenton L",SAN JOSE,458,458,388,188,200,73,115
"Sleater, Regina L",SAN JOSE,312,312,252,180,72,155,25
"del Valle, Manuel",SAN JUAN,366,465,284,269,15,266,3
"Gautier, Rosael",SAN JUAN,326,326,265,220,45,212,8
"Kimball, Peter",SAN JUAN,1,413,1,1,0,1,0
"Mandry, Maria T",SAN JUAN,49,385,41,40,1,40,0
"Mercado, Gregui J",SAN JUAN,384,384,344,276,68,275,1
"Ortiz-Valero, Richard J",SAN JUAN,9,352,8,3,5,1,2
"Pico, Gerardo R",SAN JUAN,230,238,201,151,50,143,8
"Quinones, Ramon E",SAN JUAN,394,394,355,314,41,310,4
"Silva, Mario G",SAN JUAN,8,420,6,4,2,4,0
"Suris-Fernandez, Ramon",SAN JUAN,103,393,97,71,26,62,9
"Torres, Judith",SAN JUAN,41,41,32,31,1,30,1
"Benmour, Maxine R",SAN RAFAEL,211,211,199,101,98,93,8
"Hong, Serena S",SAN RAFAEL,327,327,273,197,76,135,62
"Krolikowski, Suzanne",SAN RAFAEL,75,104,58,27,31,19,8
"Kwon, K.",SAN RAFAEL,322,322,257,167,90,119,48
"Mazzi, David R",SAN RAFAEL,242,343,216,167,49,148,19
"O'Brien-Persons, Wynne",SAN RAFAEL,214,236,163,113,50,76,37
"O'Connor, Mary Beth",SAN RAFAEL,284,284,231,110,121,93,17
"Andeer, Kyle E",SANTA BARBARA,249,339,198,107,91,76,31
"Everstine, Mary L",SANTA BARBARA,317,317,263,116,147,64,52
"Garwal, Dale A",SANTA BARBARA,384,384,335,192,143,163,29
"Koltys, Henry",SANTA BARBARA,225,225,195,121,74,110,11
"Watson, Elizabeth",SANTA BARBARA,3,339,2,0,2,0,0
"Winkelman, Roger E",SANTA BARBARA,230,230,190,101,89,89,12
"Biloon, Millard L",SAVANNAH,225,225,185,145,40,139,6
"Carter, Constance D",SAVANNAH,225,384,173,91,82,77,14
"Carter, Paul S",SAVANNAH,199,318,157,94,63,82,12
"Casher, Geoffrey S",SAVANNAH,481,482,354,129,225,100,29
"Davenport, G. W",SAVANNAH,1,1,1,0,1,0,0
"Fishman, Donald B",SAVANNAH,133,133,97,57,40,50,7
"Foerster, Robert O",SAVANNAH,414,414,334,247,87,229,18
"Furcolo, Richard",SAVANNAH,294,294,235,63,172,51,12
"Gold, Jr., Morton J",SAVANNAH,58,58,49,20,29,18,2
"Maclean, John H",SAVANNAH,377,377,265,166,99,131,35
"Mason, John R",SAVANNAH,397,397,313,189,124,154,35
"Petersen, Craig R",SAVANNAH,364,364,285,125,160,93,32
"Adams, M. J.",SEATTLE,314,314,209,88,121,65,23
"Allred, Keith",SEATTLE,14,324,8,4,4,4,0
"Araki, Wayne N",SEATTLE,298,298,211,120,91,98,22
"Boyce, Kimberly",SEATTLE,292,292,204,88,116,59,29
"Filion, Cheri L",SEATTLE,190,190,127,71,56,61,10
"Gallagher Dilley, Mary",SEATTLE,277,277,209,120,89,97,23
"Griggs, Gordon W",SEATTLE,282,282,207,103,104,86,17
"Kennedy, Larry",SEATTLE,274,274,196,56,140,30,26
"Mangrum, Timothy",SEATTLE,220,220,171,110,61,99,11
"Martz, Stephanie",SEATTLE,283,283,206,93,113,80,13
"Meyers, Glenn G",SEATTLE,205,205,137,55,82,39,16
"Morris, Tom L",SEATTLE,219,219,148,40,108,17,23
"Robinson, Virginia M",SEATTLE,230,230,169,36,133,27,9
"Rolph, John W",SEATTLE,6,95,5,2,3,1,1
"Sloan, Ilene",SEATTLE,208,208,127,50,77,38,12
"Valente, Laura",SEATTLE,261,261,190,101,89,80,21
"Bezego, William J",SEVEN FIELDS,395,395,312,142,170,104,38
"Brash, David F",SEVEN FIELDS,146,315,121,50,71,36,14
"Cohen, Douglas",SEVEN FIELDS,440,440,343,178,165,109,69
